Country,Year,FSI_Category,C1_Security_Apparatus_Disc,C2_Factionalized_Elites_Disc,C3_Group_Grievance_Disc,E1_Economy_Disc,E2_Economic_Inequality_Disc,E3_Human_Flight_and_Brain_Drain_Disc,P1_State_Legitimacy_Disc,P2_Public_Services_Disc,P3_Human_Rights_Disc,S1_Demographic_Pressures_Disc,S2_Refugees_and_IDPs_Disc,X1_External_Intervention_Disc,GDP_Category,Internet_Category,Life_Expectancy_Category,Military_Expenditure_Category
Finland,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
France,2019,Sustainable,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
France,2020,Sustainable,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
France,2021,Sustainable,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
Gabon,2019,Warning,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium
Gabon,2020,Stable,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Medium
Gabon,2021,Stable,Low,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Medium
Gambia,2019,Warning,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Low,Low,Medium,Low
Gambia,2020,Warning,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Low,Medium,Medium,Low
Gambia,2021,Warning,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,Low
Georgia,2019,Warning,Medium,High,Medium,Medium,Low,Low,High,Low,Medium,Low,Medium,Medium,Low,High,Medium,Medium
Georgia,2020,Warning,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Low,Medium,Medium,Low,High,Medium,Medium
Georgia,2021,Warning,Medium,High,Medium,Medium,Low,Medium,High,Low,Low,Low,Medium,Medium,Low,High,Medium,Medium
Germany,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Germany,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Germany,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Ghana,2019,Stable,Low,Low,Low,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Low,Low,Medium,Low
Ghana,2020,Stable,Low,Low,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Medium,Low
Ghana,2021,Stable,Low,Medium,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,High,Medium,Low
Greece,2019,Stable,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,Medium,Medium,Medium,High,High,Medium
Greece,2020,Stable,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,Medium,Medium,Medium,High,High,Medium
Greece,2021,Stable,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,Medium,Medium,Medium,High,High,High
Grenada,2019,Stable,Medium,Medium,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium,Medium,Medium,Medium,Medium
Grenada,2020,Stable,Medium,Medium,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium,Low,Medium,High,Medium
Grenada,2021,Stable,Low,Medium,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium,Low,High,Medium,Medium
Guatemala,2019,Warning,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Low
Guatemala,2020,Warning,Medium,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Low
Guatemala,2021,Warning,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Low
Guinea,2019,Alert,High,High,High,High,Medium,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Low,Low
Guinea,2020,Alert,High,High,High,High,Medium,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Low,Low
Guinea,2021,Alert,High,High,High,High,Medium,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Low,Medium
Guinea Bissau,2019,Alert,High,High,Low,Medium,High,Medium,High,High,Medium,High,Medium,High,Low,Low,Medium,Low
Guinea Bissau,2020,Alert,High,High,Low,Medium,High,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Medium,Medium
Guinea Bissau,2021,Alert,Medium,High,Low,Medium,High,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Medium,Low
Guyana,2019,Stable,Medium,Medium,Medium,Medium,Medium,High,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Medium,Low
Guyana,2020,Stable,Medium,Medium,Medium,Medium,Low,High,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Medium,Low
Guyana,2021,Stable,Medium,Medium,Medium,Low,Low,High,Low,Medium,Low,Medium,Low,Medium,Low,High,Medium,Low
Haiti,2019,Alert,Medium,High,Medium,High,High,High,High,High,Medium,High,Medium,High,Low,Medium,Medium,Low
Haiti,2020,Alert,Medium,High,Medium,High,High,High,High,High,Medium,High,Medium,High,Low,Medium,Medium,Low
Haiti,2021,Alert,Medium,High,Medium,High,High,High,High,High,Medium,High,Medium,High,Low,Medium,Medium,Low
Honduras,2019,Warning,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium
Honduras,2020,Warning,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low
Honduras,2021,Warning,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low
Hungary,2019,Sustainable,Low,Medium,Low,Low,Low,Low,Medium,Low,Medium,Low,Medium,Low,Medium,High,High,Low
Hungary,2020,Sustainable,Low,Medium,Low,Low,Low,Low,Medium,Low,Medium,Low,Medium,Low,Medium,High,High,Medium
Hungary,2021,Stable,Low,Medium,Low,Medium,Low,Low,Medium,Low,Medium,Low,Medium,Low,Medium,High,Medium,Low
Iceland,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
Iceland,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
Iceland,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
India,2019,Warning,Medium,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Low,Low,Medium,Medium
India,2020,Warning,Medium,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Medium
India,2021,Warning,Medium,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,High,Low,Low,Low,Medium,Medium,Medium
Indonesia,2019,Warning,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Low
Indonesia,2020,Stable,Medium,Medium,Medium,Low,Low,Medium,Low,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Low
Indonesia,2021,Stable,Medium,Medium,Medium,Low,Low,Medium,Low,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Low
Iran,2019,Warning,Medium,High,High,Medium,Medium,Medium,High,Low,High,Low,Medium,Medium,Low,High,High,Medium
Iran,2020,Warning,Medium,High,High,Medium,Medium,Medium,High,Low,High,Low,Medium,Medium,Low,High,Medium,Medium
Iran,2021,Warning,Medium,High,High,Medium,Low,Medium,High,Low,High,Medium,Medium,Medium,Low,High,Medium,Medium
Iraq,2019,Alert,High,High,High,Medium,Medium,Medium,High,High,High,High,High,High,Low,Medium,Medium,Medium
Iraq,2020,Alert,High,High,High,Medium,Medium,Medium,High,High,Medium,High,High,High,Low,Medium,Medium,Medium
Iraq,2021,Alert,Medium,High,High,Medium,Medium,Medium,High,High,High,High,High,High,Low,Medium,Medium,Medium
Ireland,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Ireland,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Ireland,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Israel,2021,Sustainable,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High
Israel and West Bank,2019,Warning,Medium,High,High,Low,Medium,Low,Medium,Low,Medium,Medium,Medium,Medium,Low,High,Medium,Medium
Israel and West Bank,2020,Warning,Medium,High,High,Low,Medium,Low,Medium,Low,Medium,Medium,Medium,Medium,Low,High,Medium,Medium
Italy,2019,Sustainable,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Medium,Low,High,High,High,Low
Italy,2020,Sustainable,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,High,High,Medium
Italy,2021,Sustainable,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Medium,Low,Low,High,High,High,Medium
Jamaica,2019,Stable,Medium,Low,Low,Medium,Low,High,Low,Medium,Medium,Low,Low,Medium,Low,High,Medium,Medium
Jamaica,2020,Stable,Medium,Low,Low,Medium,Low,High,Low,Medium,Medium,Low,Low,Low,Low,High,Medium,Medium
Jamaica,2021,Stable,Medium,Low,Low,Medium,Low,High,Low,Medium,Medium,Low,Low,Low,Low,High,Medium,Low
Japan,2019,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,Low,High,High,High,Low
Japan,2020,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,Low,High,High,High,Low
Japan,2021,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,Low,High,High,High,Low
Jordan,2019,Warning,Medium,Medium,High,Medium,Medium,Low,Medium,Low,Medium,Medium,High,Medium,Low,High,High,High
Jordan,2020,Warning,Medium,Medium,High,Medium,Low,Low,Medium,Low,Medium,Medium,High,Medium,Low,High,High,High
Jordan,2021,Warning,Medium,Medium,High,Medium,Low,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,High,Medium,High
Kazakhstan,2019,Stable,Low,Medium,High,Medium,Low,Low,High,Low,Medium,Low,Low,Low,Low,High,Medium,Low
Kazakhstan,2020,Stable,Low,Medium,High,Medium,Low,Low,High,Low,Medium,Low,Low,Low,Low,High,Medium,Low
Kazakhstan,2021,Stable,Low,Medium,High,Medium,Low,Low,High,Low,Medium,Low,Low,Low,Low,High,Medium,Low
Kenya,2019,Alert,Medium,High,High,Medium,Medium,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Medium,Low
Kenya,2020,Alert,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Low,Medium,Low
Kenya,2021,Warning,Medium,High,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Medium,Low
Kuwait,2019,Stable,Low,Medium,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,High,High,High,High
Kuwait,2020,Stable,Low,Medium,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,Medium,High,High,High
Kuwait,2021,Stable,Low,Medium,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,High,High,High,High
Kyrgyzstan,2019,Warning,Medium,High,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium
Kyrgyzstan,2020,Warning,Medium,High,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,High,Medium,Medium
Kyrgyzstan,2021,Warning,Medium,High,High,Medium,Low,Medium,High,Medium,Medium,Medium,Low,Medium,Low,High,Medium,Medium
Laos,2019,Warning,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium
Laos,2020,Warning,Low,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium
Laos,2021,Warning,Low,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium
Latvia,2019,Sustainable,Low,Low,High,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Latvia,2020,Sustainable,Low,Low,High,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Latvia,2021,Sustainable,Low,Low,High,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Medium,High,Medium,Medium
Lebanon,2019,Warning,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Low,High,High,High
Lebanon,2020,Warning,Medium,High,High,Medium,Low,Medium,Medium,Low,Medium,Low,High,High,Low,High,High,Medium
Lebanon,2021,Warning,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Low,High,Medium,Medium
Lesotho,2019,Warning,Medium,Medium,Low,High,High,High,Medium,Medium,Medium,High,Low,Medium,Low,Medium,Low,Medium
Lesotho,2020,Warning,Medium,Medium,Low,High,High,Medium,Medium,Medium,Medium,High,Low,Medium,Low,Medium,Low,Medium
Lesotho,2021,Warning,Medium,Medium,Low,High,High,Medium,Low,Medium,Medium,High,Low,Medium,Low,Medium,Low,Medium
Liberia,2019,Alert,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,High,High,High,Low,Low,Medium,Low
Liberia,2020,Alert,Medium,High,Low,High,Medium,Medium,Medium,High,Medium,High,Medium,High,Low,Low,Medium,Low
Liberia,2021,Warning,Medium,High,Low,High,Medium,Medium,Medium,High,Medium,High,Medium,High,Low,Low,Medium,Low
Libya,2019,Alert,High,High,Medium,Medium,Medium,Medium,High,Medium,High,Low,Medium,High,Low,High,Medium,Medium
Libya,2020,Alert,High,High,Medium,High,Medium,Medium,High,Medium,High,Medium,High,High,Low,High,Medium,Medium
Libya,2021,Alert,High,High,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,High,Low,High,Medium,Medium
Lithuania,2019,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Lithuania,2020,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Lithuania,2021,Sustainable,Low,Low,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Medium,High,Medium,Medium
Luxembourg,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Luxembourg,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Luxembourg,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Macedonia,2019,Stable,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Medium,Medium,Low,High,High,Low
Macedonia,2020,Stable,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Medium,Medium,Low,High,Medium,Low
Macedonia,2021,Stable,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Medium,Medium,Low,High,Medium,Low
Madagascar,2019,Warning,Medium,Medium,Low,Medium,High,Medium,Medium,High,Medium,High,Low,Medium,Low,Low,Medium,Low
Madagascar,2020,Warning,Medium,Medium,Low,Medium,High,Medium,Medium,High,Medium,High,Low,Medium,Low,Low,Medium,Low
Madagascar,2021,Warning,Medium,Medium,Low,Medium,High,Medium,Medium,High,Medium,High,Low,Medium,Low,Low,Medium,Low
Malawi,2019,Warning,Low,High,Medium,High,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Medium,Low
Malawi,2020,Warning,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Low,Medium,Low
Malawi,2021,Warning,Low,High,Low,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Medium,Low
Malaysia,2019,Stable,Medium,Medium,Medium,Low,Low,Medium,Medium,Low,Medium,Low,Low,Low,Medium,High,High,Low
Malaysia,2020,Stable,Medium,Medium,Medium,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,High,High,Low
Malaysia,2021,Stable,Medium,Medium,Medium,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,Medium,High,Medium,Low
Maldives,2019,Stable,Medium,High,Low,Medium,Low,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,High,High,Medium
Maldives,2020,Stable,Medium,High,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,High,High,Medium
Maldives,2021,Stable,Medium,High,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,High,High,Medium
Mali,2019,Alert,High,Medium,High,Medium,Medium,High,Medium,High,Medium,High,High,High,Low,Low,Low,Medium
Mali,2020,Alert,High,Medium,High,Medium,Medium,High,Medium,High,Medium,High,High,High,Low,Low,Low,Medium
Mali,2021,Alert,High,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,High,High,Low,Medium,Low,Medium
Malta,2019,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Malta,2020,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Malta,2021,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Mauritania,2019,Alert,Medium,High,Medium,Medium,Medium,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Medium,Medium
Mauritania,2020,Warning,Medium,High,Medium,Medium,Medium,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Medium,Medium
Mauritania,2021,Warning,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,Medium,Medium
Mauritius,2019,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Medium,Medium,Low
Mauritius,2020,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Medium,Low
Mauritius,2021,Sustainable,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Medium,Low
Mexico,2019,Stable,High,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,High,Medium,Low
Mexico,2020,Stable,High,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,Medium,Low
Mexico,2021,Stable,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,Low
Micronesia,2019,Warning,Low,Medium,Low,High,Medium,High,Low,Medium,Low,Medium,Low,High,Low,Medium,Medium,Medium
Micronesia,2020,Warning,Low,Medium,Low,Medium,Medium,High,Low,Medium,Low,Medium,Low,High,Low,Medium,Medium,Medium
Micronesia,2021,Warning,Low,Medium,Low,High,Medium,High,Low,Medium,Low,Medium,Low,High,Low,Medium,Medium,Medium
Moldova,2019,Stable,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Low,Medium,Low,High,Medium,Low
Moldova,2020,Stable,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Low,Medium,Low,High,Medium,Low
Moldova,2021,Stable,Medium,High,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,High,Medium,Low
Mongolia,2019,Stable,Low,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Medium,Low,Medium,Medium,Low
Mongolia,2020,Stable,Low,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Medium,Low,Medium,Medium,Low
Mongolia,2021,Stable,Low,Medium,Low,Medium,Medium,Low,Low,Medium,Low,Low,Low,Medium,Low,High,Medium,Low
Montenegro,2019,Stable,Low,Medium,High,Medium,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,High,Low
Montenegro,2020,Stable,Low,Medium,High,Medium,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,High,Medium
Montenegro,2021,Stable,Low,Medium,High,Medium,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,Medium,Medium
Morocco,2019,Warning,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Low,High,Medium,Medium
Morocco,2020,Warning,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Low,High,Medium,High
Morocco,2021,Warning,Low,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,High,Medium,High
Mozambique,2019,Warning,Medium,Medium,Medium,High,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Medium,Low
Mozambique,2020,Alert,Medium,Medium,Medium,High,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Medium,Medium
Mozambique,2021,Alert,Medium,Medium,Medium,High,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Medium,Medium
Myanmar,2019,Alert,High,High,High,Medium,Medium,Medium,High,High,High,Medium,High,Medium,Low,Medium,Medium,Medium
Myanmar,2020,Alert,High,High,High,Medium,Medium,Medium,High,High,High,Medium,High,Medium,Low,Medium,Medium,Medium
Myanmar,2021,Alert,High,High,High,Low,Medium,Medium,High,High,High,Medium,High,Medium,Low,Medium,Medium,High
Namibia,2019,Stable,Medium,Low,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Medium,Medium
Namibia,2020,Stable,Medium,Low,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Medium,Medium
Namibia,2021,Stable,Low,Low,Low,Medium,Medium,Medium,Low,Medium,Low,High,Low,Medium,Low,Medium,Medium,Medium
Nepal,2019,Warning,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,Low
Nepal,2020,Warning,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,Low
Nepal,2021,Warning,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,Low
Netherlands,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Netherlands,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Netherlands,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
New Zealand,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
New Zealand,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
New Zealand,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Nicaragua,2019,Warning,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Low
Nicaragua,2020,Warning,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Low,Medium,Low,Medium,Medium,Low
Nicaragua,2021,Warning,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Low,Medium,Low,Medium,Medium,Low
Niger,2019,Alert,High,High,Medium,Medium,High,Medium,Medium,High,Medium,High,High,Medium,Low,Low,Medium,Medium
